taxon;lon;lat
"Euterpe edulis Mart.";-42.0333333;-20.7666667
"Euterpe edulis Mart.";-42.0333333;-20.7666667
"Euterpe edulis Mart.";-39.9325;-19.1352777
"Euterpe edulis Mart.";-43.0002778;-22.7716667
"Euterpe edulis Mart.";-44.5666667;-22.25
"Euterpe edulis Mart.";-42.05;-22
"Euterpe edulis Mart.";-42.05;-22
"Euterpe edulis Mart.";-42.5;-22.55
"Euterpe edulis Mart.";-42.05;-22
"Euterpe edulis Mart.";-42.25;-22.5
"Euterpe edulis Mart.";-42.25;-22.5
"Euterpe edulis Mart.";-42.25;-22.5
"Euterpe edulis Mart.";-39.9325;-19.1352777
"Euterpe edulis Mart.";-40.5166667;-19.95
"Euterpe edulis Mart.";-40.525;-20.2677778
"Euterpe edulis Mart.";-42.5494444;-22.5222223
"Euterpe edulis Mart.";-43.8916667;-21.7
"Euterpe edulis Mart.";-44.6819445;-23.0627778
"Euterpe edulis Mart.";-44.6866666;-23.0711111
"Euterpe edulis Mart.";-44.6794445;-23.0677778
"Euterpe edulis Mart.";-43.2486111;-22.9688889
"Euterpe edulis Mart.";-48.8697223;-27.99
"Euterpe edulis Mart.";-43.4183334;-22.5747223
